Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
115,1,STEP,-1641772996,-1640241796,1531200,-1
116,1,STEP,-1640001296,-1638584296,1417000,-1
117,1,STEP,-1638248196,-1636482496,1765700,-1
118,1,STEP,-1635893596,-1634105096,1788500,-1
119,1,STEP,-1633761096,-1631190896,2570200,-1
120,1,STEP,-1630874396,-1628908296,1966100,-1
121,1,STEP,-1628521296,-1627100196,1421100,-1
122,1,STEP,-1626824396,-1625465996,1358400,-1
123,1,STEP,-1625199396,-1623897296,1302100,-1
124,1,STEP,-1623668396,-1622308096,1360300,-1
125,1,STEP,-1622081396,-1620270096,1811300,-1
126,1,STEP,-1619472396,-1618163796,1308600,-1
127,1,STEP,-1617930096,-1616301496,1628600,-1
128,1,STEP,-1615910896,-1614248796,1662100,-1
129,1,STEP,-1613843096,-1611844296,1998800,-1
130,1,STEP,-1611367096,-1609940696,1426400,-1
131,1,STEP,-1609647196,-1608324196,1323000,-1
132,1,STEP,-1607997896,-1606852496,1145400,-1
133,1,STEP,-1606541696,-1604838396,1703300,-1
134,1,STEP,-1604490196,-1603096496,1393700,-1
135,1,STEP,-1602776596,-1601409796,1366800,-1
136,1,STEP,-1601032996,-1599312296,1720700,-1
137,1,STEP,-1598869396,-1597518196,1351200,-1
138,1,STEP,-1597026896,-1595371696,1655200,-1
139,1,STEP,-1595016096,-1593709796,1306300,-1
140,1,STEP,-1593412496,-1591956196,1456300,-1
141,1,STEP,-1591671296,-1589592996,2078300,-1
142,1,STEP,-1588871796,-1587679396,1192400,-1
143,1,STEP,-1587386596,-1586056696,1329900,-1
144,1,STEP,-1585715996,-1584253696,1462300,-1
145,1,STEP,-1583939796,-1582509096,1430700,-1
146,1,STEP,-1582123196,-1580753696,1369500,-1
147,1,STEP,-1580384096,-1578779996,1604100,-1
148,1,STEP,-1578502096,-1577241496,1260600,-1
149,1,STEP,-1577050696,-1575864996,1185700,-1
150,1,STEP,-1575686096,-1574114196,1571900,-1
151,1,STEP,-1572611196,-1570922496,1688700,-1
152,1,STEP,-1570662996,-1569578396,1084600,-1
153,1,STEP,-1569265896,-1568164296,1101600,-1
154,1,STEP,-1567852796,-1566737896,1114900,-1
155,1,STEP,-1566445996,-1564993496,1452500,-1
156,1,STEP,-1564628096,-1562587196,2040900,-1
157,1,STEP,-1562173196,-1560457996,1715200,-1
158,1,STEP,-1560092496,-1558209196,1883300,-1
159,1,STEP,-1557212396,-1555560096,1652300,-1
160,1,STEP,-1555085296,-1553495496,1589800,-1
161,1,STEP,-1553010696,-1551425596,1585100,-1
162,1,STEP,-1551025196,-1549149696,1875500,-1
163,1,STEP,-1548765796,-1547328696,1437100,-1
164,1,STEP,-1546838296,-1544956096,1882200,-1
165,1,STEP,-1544576696,-1543016496,1560200,-1
166,1,STEP,-1542344196,-1540055196,2289000,-1
167,1,STEP,-1539597296,-1538098196,1499100,-1
168,1,STEP,-1537624896,-1536343596,1281300,-1
169,1,STEP,-1536014196,-1534910796,1103400,-1
170,1,STEP,-1534637096,-1533541996,1095100,-1
171,1,STEP,-1533303196,-1532257396,1045800,-1
172,1,STEP,-1531749896,-1529641696,2108200,-1
173,1,STEP,-1529210496,-1527989096,1221400,-1
174,1,STEP,-1527608596,-1525616496,1992100,-1
175,1,STEP,-1524723696,-1523258596,1465100,-1
176,1,STEP,-1522897796,-1521390496,1507300,-1
177,1,STEP,-1520839696,-1518866096,1973600,-1
178,1,STEP,-1518520096,-1517304996,1215100,-1
179,1,STEP,-1516998296,-1515741696,1256600,-1
180,1,STEP,-1515434296,-1514170296,1264000,-1
181,1,STEP,-1513884596,-1511961196,1923400,-1
182,1,STEP,-1511389696,-1509100896,2288800,-1
183,1,STEP,-1508789596,-1507589196,1200400,-1
184,1,STEP,-1507307296,-1505961696,1345600,-1
185,1,STEP,-1505655196,-1504596996,1058200,-1
186,1,STEP,-1504325596,-1503131796,1193800,-1
187,1,STEP,-1502861996,-1501316096,1545900,-1
188,1,STEP,-1500901396,-1499205496,1695900,-1
189,1,STEP,-1498770496,-1497171296,1599200,-1
190,1,STEP,-1496645196,-1494982696,1662500,-1
191,1,STEP,-1493481596,-1492228696,1252900,-1
192,1,STEP,-1491812396,-1490458496,1353900,-1
193,1,STEP,-1490054896,-1488689396,1365500,-1
194,1,STEP,-1488378696,-1487208696,1170000,-1
195,1,STEP,-1486938696,-1485715196,1223500,-1
196,1,STEP,-1485403996,-1484523996,880000,-1
197,1,STEP,-1484255696,-1483114396,1141300,-1
198,1,STEP,-1482826896,-1480837696,1989200,-1
199,1,STEP,-1480266596,-1477832596,2434000,-1
200,1,STEP,-1477014296,-1475666796,1347500,-1
201,1,STEP,-1475117696,-1473558196,1559500,-1
202,1,STEP,-1473179096,-1471134496,2044600,-1
203,1,STEP,-1470735296,-1468655496,2079800,-1
204,1,STEP,-1468366096,-1467054396,1311700,-1
205,1,STEP,-1466713696,-1464727696,1986000,-1
206,1,STEP,-1463283396,-1461339796,1943600,-1
207,1,STEP,-1460968296,-1459551496,1416800,-1
208,1,STEP,-1459304396,-1457758896,1545500,-1
209,1,STEP,-1457326196,-1455603496,1722700,-1
210,1,STEP,-1455253296,-1454043996,1209300,-1
211,1,STEP,-1453713196,-1452072096,1641100,-1
212,1,STEP,-1451728396,-1449791796,1936600,-1
213,1,STEP,-1449354696,-1447239296,2115400,-1
214,1,STEP,-1446429596,-1444844896,1584700,-1
215,1,STEP,-1444442696,-1441940696,2502000,-1
216,1,STEP,-1441579296,-1439777296,1802000,-1
217,1,STEP,-1439379396,-1437649496,1729900,-1
218,1,STEP,-1437297796,-1434989296,2308500,-1
219,1,STEP,-1434518996,-1431793796,2725200,-1
220,1,STEP,-1431328896,-1429265496,2063400,-1
221,1,STEP,-1428766496,-1426515896,2250600,-1
222,1,STEP,-1426134196,-1424819196,1315000,-1
223,1,STEP,-1424540696,-1423205096,1335600,-1
224,1,STEP,-1422891696,-1421495496,1396200,-1
225,1,STEP,-1421148796,-1419008896,2139900,-1
226,1,STEP,-1418685696,-1416269096,2416600,-1
227,1,STEP,-1415894696,-1414404896,1489800,-1
228,1,STEP,-1413982696,-1411572096,2410600,-1
229,1,STEP,-1411123796,-1409025296,2098500,-1
230,1,STEP,-1408610096,-1406396996,2213100,-1
231,1,STEP,-1406057296,-1404900096,1157200,-1
232,1,STEP,-1404623096,-1402965796,1657300,-1
233,1,STEP,-1401678596,-1399446596,2232000,-1
234,1,STEP,-1399070296,-1396618196,2452100,-1
235,1,STEP,-1396167496,-1394212496,1955000,-1
236,1,STEP,-1393841596,-1392585496,1256100,-1
237,1,STEP,-1392227596,-1390580596,1647000,-1
238,1,STEP,-1390262896,-1389008896,1254000,-1
239,1,STEP,-1388656396,-1386624196,2032200,-1
240,1,STEP,-1385642196,-1383982796,1659400,-1
241,1,STEP,-1383542896,-1381475496,2067400,-1
242,1,STEP,-1381113796,-1378655896,2457900,-1
243,1,STEP,-1378079196,-1376589396,1489800,-1
244,1,STEP,-1376180596,-1374784396,1396200,-1
245,1,STEP,-1374498996,-1373211196,1287800,-1
246,1,STEP,-1372900296,-1371637696,1262600,-1
247,1,STEP,-1371212096,-1369149296,2062800,-1
248,1,STEP,-1368771096,-1366538496,2232600,-1
249,1,STEP,-1366144896,-1364147296,1997600,-1
250,1,STEP,-1363472696,-1360471296,3001400,-1
251,1,STEP,-1360043796,-1357611196,2432600,-1
252,1,STEP,-1357247696,-1354838096,2409600,-1
253,1,STEP,-1353756996,-1351647896,2109100,-1
254,1,STEP,-1350361696,-1347617396,2744300,-1
255,1,STEP,-1347249896,-1344942196,2307700,-1
256,1,STEP,-1344393896,-1342942496,1451400,-1
257,1,STEP,-1342607896,-1340143696,2464200,-1
258,1,STEP,-1339646696,-1337923596,1723100,-1
259,1,STEP,-1337533496,-1336014596,1518900,-1
260,1,STEP,-1335666596,-1334299596,1367000,-1
261,1,STEP,-1334009696,-1332539496,1470200,-1
262,1,STEP,-1332211696,-1330361996,1849700,-1
263,1,STEP,-1329833896,-1328109296,1724600,-1
264,1,STEP,-1327678396,-1325486896,2191500,-1
265,1,STEP,-1325096696,-1323089596,2007100,-1
266,1,STEP,-1321940396,-1320223696,1716700,-1
267,1,STEP,-1319888196,-1318583296,1304900,-1
268,1,STEP,-1318236796,-1316635296,1601500,-1
269,1,STEP,-1316258596,-1314897196,1361400,-1
270,1,STEP,-1314576596,-1312964696,1611900,-1
271,1,STEP,-1312634496,-1310597996,2036500,-1
272,1,STEP,-1310328596,-1309102296,1226300,-1
273,1,STEP,-1308881096,-1307169496,1711600,-1
274,1,STEP,-1306118096,-1304853296,1264800,-1
275,1,STEP,-1304620696,-1303513896,1106800,-1
276,1,STEP,-1303284996,-1302003796,1281200,-1
277,1,STEP,-1301660196,-1300106796,1553400,-1
278,1,STEP,-1299791896,-1298207896,1584000,-1
279,1,STEP,-1297888296,-1296225496,1662800,-1
280,1,STEP,-1295807696,-1294320896,1486800,-1
281,1,STEP,-1293996096,-1292551396,1444700,-1
282,1,STEP,-1292225096,-1290288196,1936900,-1
283,1,STEP,-1289914996,-1288523996,1391000,-1
284,1,STEP,-1288244196,-1286648996,1595200,-1
285,1,STEP,-1286252596,-1284786496,1466100,-1
286,1,STEP,-1284409996,-1283098096,1311900,-1
287,1,STEP,-1282746396,-1281219996,1526400,-1
288,1,STEP,-1280862896,-1279139796,1723100,-1
289,1,STEP,-1278654396,-1277205296,1449100,-1
290,1,STEP,-1276728896,-1275237896,1491000,-1
291,1,STEP,-1274944096,-1273640296,1303800,-1
292,1,STEP,-1273337096,-1272198396,1138700,-1
293,1,STEP,-1271937196,-1270498096,1439100,-1
294,1,STEP,-1270183096,-1268822596,1360500,-1
295,1,STEP,-1268456996,-1266994796,1462200,-1
296,1,STEP,-1266543396,-1265056796,1486600,-1
297,1,STEP,-1264708496,-1262350796,2357700,-1
